文旅,#genre#
南京信息,http://live.nbs.cn:80/channels/njtv/xxpd/m3u8:500k/live.m3u8
南京十八,http://live.nbs.cn/channels/njtv/sbpd/500k.m3u8
南京十八,http://live.nbs.cn:80/channels/njtv/sbpd/500k.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/nbs23.m3u8
南京教科,http://live.nbs.cn/channels/njtv/jkpd/nbs06.m3u8
纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
精品纪录,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
福建旅游,http://www.91dos.cn:4022/udp/239.61.4.6:1025
武夷山,http://fjwysdb.chinashadt.com:2036/live/1.stream/playlist.m3u8
亮生活,https://live.metshop.top/douyu/8850453
苏州4K,http://liveshowbak2.kan0512.com:80/ksz-norecord/csztv4k_4k.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8?zjiangsd
萌宠,http://218.241.192.50:8808/udp/239.3.1.102:8001
萌宠,http://103.48.233.245:9901/rtp/239.3.1.102:8001
万州三峡,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8
万州三峡,http://wanzhoulive.cbg.cn:8017/c2F0hmi/1000/live.m3u8
國家公園,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8?zzhed
之江记录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8.
国学频道,http://222.223.118.222:2180/live/gxpd/index.m3u8
国学,http://115.171.216.22:4000/udp/225.1.8.237:4120
墨宝,http://115.171.216.22:4000/udp/225.1.8.243:4120
书画,http://nas.hssvm.com:8888/udp/225.1.2.22:5002
茶频道,http://103.48.233.245:9901/rtp/239.3.1.165:8001
人民铁道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8
郑铁有线,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8
欢笑剧场,http://ipv4.sunjianwu.fun:8800/udp/239.49.8.106:8000?
欢笑剧场,http://nas.hssvm.com:8888/udp/225.1.1.139:5002
TLC旅游,P2p://generationnexxxt.com:19806/621ca70412034f5eb919c1ec03679804
HKS,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
NASA,https://ntv1.akamaized.net:443/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8
NASA Public Channel,https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master_2000.m3u8
Cat Live,https://live.goodiptv.club:443/api/huya.php?id=15927359
Fashion,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
Fashion,http://lb.streaming.sk:80/fashiontv/stream/chunklist.m3u8
Fashion,http://80.94.54.42/fashiontv/stream/playlist.m3u8
Fashion,http://lb.streaming.sk/fashiontv/stream/chunklist_w1402273512.m3u8
Fashion,http://lb.streaming.sk/fashiontv/stream/playlist.m3u8
Fashion,https://fashs043.cloudycdn.services/scte/sftv2/playlist.m3u8
Fashion,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
Fashion,http://80.94.54.42/fashiontv/stream/playlist.m3u8
Fashion,http://80.94.54.42:80/fashiontv/stream/chunklist_w903381485.m3u8
Fashion,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
Fashion,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
Fashion,http://lb.streaming.sk/fashiontv/stream/chunklist_w1402273512.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
电视指南,http://svenlone126.cn:8888/udp/225.1.2.167:5002
风景,http://185.57.68.33:8091/232/tracks-v1a1/index.m3u8
风景,http://185.57.68.33:8091/232/playlist.m3u8
老故事,http://nas.hssvm.com:8888/udp/225.1.1.188:5002
老故事,http://ddns.cyruslee.top:8888/udp/239.77.1.197:5146
中学生,http://nas.hssvm.com:8888/udp/225.1.1.193:5002
Love Nature4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
3D,https://vd4.bdstatic.com:443/mda-na6metzpvv5xqh6h/1080p/cae_h264/1641623274673701803/mda-na6metzpvv5xqh6h.mp4

健康,#genre#
格里格《早晨》,https://vd3.bdstatic.com/mda-pmnpuajtr8ayawq0/576p/h264/1703350332539245028/mda-pmnpuajtr8ayawq0.mp4?pd=2&pt=0&cr=1&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=3303862360&vid=16788686880497518234&auth_key=1712280304-0-0-9c842906e356d9600795cc646ff7b1ca&bcevod_channel=searchbox_feed
八段锦呼吸口令正背面,https://vd3.bdstatic.com/mda-mge99hd0tt7vzf2z/fhd/cae_h264_nowatermark/1626345889314910632/mda-mge99hd0tt7vzf2z.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=2615290569&vid=11725785058171515837&auth_key=1714126415-0-0-2009f5daf3537dadd3f4bb5d108fbc85&bcevod_channel=searchbox_feed
《维也纳森林的故事》小约翰斯特劳斯Tales From Veinna Woods,https://vd2.bdstatic.com/mda-pj7cbh2cv9a44cz1/1080p/cae_h264/1696799370196380183/mda-pj7cbh2cv9a44cz1.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=3402560485&vid=15125024425134809689&auth_key=1707985602-0-0-b4fcc0620752c33e3ce92048be7a79d8&bcevod_channel=searchbox_feed
格里格《晨景》,https://vd2.bdstatic.com/mda-pdfa9c5dbhdppn2p/1080p/cae_h264/1681629985238692565/mda-pdfa9c5dbhdppn2p.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=3206254572&vid=269803237449408300&auth_key=1712280206-0-0-885de43a0f040dcdefcb1bb23f12202a&bcevod_channel=searchbox_feed
第九套广播体操背向演示,https://vd3.bdstatic.com/mda-penc4i7xy3sid1ex/576p/h264/1684831297514240471/mda-penc4i7xy3sid1ex.mp4?pd=2&pt=0&cr=1&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=3241111411&vid=4806227417659373557&auth_key=1684833841-0-0-8f6981a8cdd9a8b6e734071d54d10aa2&bcevod_channel=searchbox_feed
约翰帕赫贝尔《D大调卡农》钢琴,https://vd2.bdstatic.com/mda-pcn74bcebxqr1gf3/1080p/cae_h264/1679552182362932944/mda-pcn74bcebxqr1gf3.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=3424947938&vid=12200744523457322510&auth_key=1710386825-0-0-15b55807f306419c6fb071dd0e8bb079&bcevod_channel=searchbox_feed
格里格《晨曲》,https://vd4.bdstatic.com/mda-pct6nt1y4ppgnaa3/1080p/cae_h264/1679979225254945445/mda-pct6nt1y4ppgnaa3.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0533265692&vid=5938789320475078115&auth_key=1712281134-0-0-51349694d40357e53da89f5058531c3a&bcevod_channel=searchbox_feed
《八段锦》正背向,https://vd3.bdstatic.com/mda-pen7hitkwqddwu49/576p/h264/1684819504180867347/mda-pen7hitkwqddwu49.mp4?pd=2&pt=0&cr=1&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=3380555681&vid=4216263262334107797&auth_key=1684830380-0-0-ea9566e5b01cbcbc33e6a5e072c528ab&bcevod_channel=searchbox_feed
《八段锦》正背向,https://vd4.bdstatic.com/mda-nd5edp7p2uk4gc2s/1080p/cae_h264_delogo/1649240431460439821/mda-nd5edp7p2uk4gc2s.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=3269410386&vid=6835361381704763638&auth_key=1706876669-0-0-9cb70c2b4dd7de49714f3db9358acc1f&bcevod_channel=searchbox_feed&cntl_id=ct_dy_11_95&sle=1&sl=164&split=596265
《八段锦》正背向,https://vd2.bdstatic.com/mda-ndfb9qmk0wk6jfdu/1080p/cae_h264_delogo/1650096680853086936/mda-ndfb9qmk0wk6jfdu.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1597307838&vid=373584544817363976&auth_key=1706878597-0-0-fe340745c8cc55d563ec714eeb14869a&bcevod_channel=searchbox_feed&cntl_id=ct_dy_11_95&sle=1&sl=174&split=618854
《八段锦》正背向,https://vd2.bdstatic.com/mda-ncfg8jbyyk259ewt/1080p/cae_h264_delogo/1647433378684260264/mda-ncfg8jbyyk259ewt.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0136578613&vid=11720871190677227423&auth_key=1706877137-0-0-69b29e682b81d7d212a8df4306f87ae5&bcevod_channel=searchbox_feed&cntl_id=ct_dy_11_95&sle=1&sl=201&split=659869
《八段锦》正背向,https://vd4.bdstatic.com/mda-ncdahb2udb2u6uz7/1080p/cae_h264_delogo/1647243176225274482/mda-ncdahb2udb2u6uz7.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0668168337&vid=11934984639620908798&auth_key=1706877668-0-0-e60a22b4977b705ecfc5d2ebf8ecb239&bcevod_channel=searchbox_feed&cntl_id=ct_dy_11_95&sle=1&sl=121&split=537569
《八段锦》分动讲解,https://vd4.bdstatic.com/mda-pfagn568r5hdj893/1080p/cae_h264/1686523771905284102/mda-pfagn568r5hdj893.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1065095967&vid=7744249322430336145&auth_key=1714124865-0-0-c6ca7dccf6211eb0742780f6ff627096&bcevod_channel=searchbox_feed
《享受生活圆舞曲》小约翰·施特劳斯2020年新年音乐会尼尔森斯,https://vd3.bdstatic.com/mda-njtney8vmjrfdyyv/hd/cae_h264/1667032385803080845/mda-njtney8vmjrfdyyv.mp4?pd=2&pt=0&cr=1&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=2814458232&vid=1287310790906431794&auth_key=1713496614-0-0-60a7f2a58e5fc41db241f08c1d815411&bcevod_channel=searchbox_feed
约纳森《杜鹃圆舞曲》,https://vd4.bdstatic.com/mda-pcr7idkitnmmm64h/1080p/cae_h264/1679810342095277995/mda-pcr7idkitnmmm64h.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0814221803&vid=8712667853057242425&auth_key=1712281414-0-0-3dfebbb53e5aefb5d504f421952f5777&bcevod_channel=searchbox_feed
戈塞克《加沃特舞曲》,https://vd3.bdstatic.com/mda-pcw81d49zzm7gzh1/1080p/cae_h264/1680242659045514708/mda-pcw81d49zzm7gzh1.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0854756408&vid=3977142165226169634&auth_key=1712281454-0-0-c1948a6b2d83d728b3434ccf6cd782e5&bcevod_channel=searchbox_feed
博凯里尼《小步舞曲》,https://vd2.bdstatic.com/mda-pd2icxhb0m68edpi/1080p/cae_h264/1680527664822878845/mda-pd2icxhb0m68edpi.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0916978542&vid=13172967244988886756&auth_key=1712281517-0-0-c2ad03c332b840aff74e1d70f398b888&bcevod_channel=searchbox_feed
舒伯特《音乐瞬间》,https://vd3.bdstatic.com/mda-pdgcuzf3p4x75akk/1080p/cae_h264/1681725251463374964/mda-pdgcuzf3p4x75akk.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1224021297&vid=15392784975034382391&auth_key=1712281824-0-0-2112833e3e69aee5a46231335f196dbd&bcevod_channel=searchbox_feed
《乐兴之时》D780第3首弗朗茨·舒伯特,https://vd2.bdstatic.com/mda-mg7divvig49c92zw/1080p/cae_h264/1626008520258690508/mda-mg7divvig49c92zw.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=2927696199&vid=13343097960942956359&auth_key=1713064727-0-0-3018be8f71ed3cbd2a5cc40b907284fc&bcevod_channel=searchbox_feed
约翰帕赫贝尔《D大调卡农》,https://vd2.bdstatic.com/mda-mfp5yig3ctnuw1u1/1080p/cae_h264/1624508823394095963/mda-mfp5yig3ctnuw1u1.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=2166951716&vid=16382108324403900016&auth_key=1712718368-0-0-dfdfb1003d5c507cfd9bbae7fc98bf62&bcevod_channel=searchbox_feed
小约翰斯特劳斯《南方的玫瑰》,https://vd2.bdstatic.com/mda-pd24enfwcqab885f/1080p/cae_h264/1680499778812471661/mda-pd24enfwcqab885f.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0721961047&vid=11240216852273609349&auth_key=1712281322-0-0-3f5d4bcee83d3bc02829ac9457200731&bcevod_channel=searchbox_feed
小约翰斯特劳斯《春之声圆舞曲》,https://vd4.bdstatic.com/mda-pcuhnkpi3gman5s2/1080p/cae_h264/1680095493096192730/mda-pcuhnkpi3gman5s2.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0763963027&vid=8478028902455139435&auth_key=1712281364-0-0-d40281f43240b6321c50f1625f823cf7&bcevod_channel=searchbox_feed
小约翰斯特劳斯《皇帝圆舞曲》,https://vd4.bdstatic.com/mda-pdfdxrjhvfb3jdsj/1080p/cae_h264/1681653292602456073/mda-pdfdxrjhvfb3jdsj.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1139368501&vid=15112444378221685615&auth_key=1712281739-0-0-e9c174fc58f89c411e45fdab7d3bced0&bcevod_channel=searchbox_feed
约翰斯特劳斯《拉德茨基进行曲》,https://vd2.bdstatic.com/mda-pcsg1ay1rdffgdmn/1080p/cae_h264/1679917958402043495/mda-pcsg1ay1rdffgdmn.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1446251886&vid=17669180943950959980&auth_key=1712282046-0-0-be88079e8cdd8f92952e246ade56e402&bcevod_channel=searchbox_feed
亨德尔《水上音乐》,https://vd4.bdstatic.com/mda-pd38knv8f4e969x0/1080p/cae_h264/1680588992976267735/mda-pd38knv8f4e969x0.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1056843625&vid=10968426681647467085&auth_key=1712281656-0-0-1ca3a3b235d318de0a69546e5a95768f&bcevod_channel=searchbox_feed
李斯特《爱之梦》,https://vd4.bdstatic.com/mda-pd69pif5af587p42/1080p/cae_h264/1680850942827007162/mda-pd69pif5af587p42.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1090024512&vid=12324029532160907955&auth_key=1712281690-0-0-8b6359ec974da54cfdc1e1557a30835c&bcevod_channel=searchbox_feed
贝多芬《致爱丽丝》,https://vd4.bdstatic.com/mda-pdjfmgiutdrh2ith/1080p/cae_h264/1682008604226170811/mda-pdjfmgiutdrh2ith.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1312960629&vid=2675045475720307988&auth_key=1712281913-0-0-eb5297a1ede8c04abff69f815e384011&bcevod_channel=searchbox_feed
贝多芬《浪漫曲》,https://vd4.bdstatic.com/mda-pdfifb0pwjpx0wzz/1080p/cae_h264/1681652109253841394/mda-pdfifb0pwjpx0wzz.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1280159276&vid=8159803999798618288&auth_key=1712281880-0-0-fd4bb403cb18d0fdbd806e28668e9e61&bcevod_channel=searchbox_feed
塞内维尔《秋日私语》,https://vd2.bdstatic.com/mda-pdhacixjft6ghfap/1080p/cae_h264/1681815352227372738/mda-pdhacixjft6ghfap.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1345770321&vid=11251946608972593263&auth_key=1712281946-0-0-d4ba2223b68915ed41971746a48c16a0&bcevod_channel=searchbox_feed
放松舒心2小时,https://vd3.bdstatic.com/mda-pmjj0zs5w2yi66f7/576p/h264/1703080186219844824/mda-pmjj0zs5w2yi66f7.mp4?pd=2&pt=0&cr=1&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1184021844&vid=6987718795991933344&auth_key=1704073784-0-0-3e73d7b9e373de19e5f307d9124d9e22&bcevod_channel=searchbox_feed
古琴曲静水流深10首,https://vd4.bdstatic.com/mda-pdp8h40ti5gffwrx/1080p/cae_h264/1682319731520112147/mda-pdp8h40ti5gffwrx.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0909698911&vid=18299591389742386175&auth_key=1699519510-0-0-15ee195b40914861d5befbda18e0d544&bcevod_channel=searchbox_feed
冥想放松60分,https://vd3.bdstatic.com/mda-njggmmvrt58t9khk/576p/h264/1666007294644884771/mda-njggmmvrt58t9khk.mp4?pd=2&pt=0&cr=1&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0198315701&vid=9693024589335453671&auth_key=1704072798-0-0-3919b3c731255d61e91600c46722caf9&bcevod_channel=searchbox_feed
《眼保健操》名曲版,https://vd2.bdstatic.com/mda-penbpqyni4vycbwa/576p/h264/1684830032191593678/mda-penbpqyni4vycbwa.mp4?pd=2&pt=0&cr=1&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1848326109&vid=4698377103865235240&auth_key=1684832448-0-0-1bc8b0adf9bcd2dff891b24f5a1a2587&bcevod_channel=searchbox_feed
《天鹅》,https://vd2.bdstatic.com/mda-piccr66tccuqp55w/1080p/cae_h264/1694615108769675735/mda-piccr66tccuqp55w.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=3548030614&vid=7239369245264044049&auth_key=1707982148-0-0-6cf347716c5677b34be8fb3f7b525d7c&bcevod_channel=searchbox_feed
巴赫《哥德堡变奏曲》,https://vd4.bdstatic.com/mda-nfet7u1hktc0w9fy/576p/cae_h264/1655367064595116648/mda-nfet7u1hktc0w9fy.mp4?pd=2&pt=0&cr=1&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0911863497&vid=2652131929093830802&auth_key=1710553512-0-0-04298cc0609c5d651b002417a8d9b30c&bcevod_channel=searchbox_feed
《梦幻曲》选自罗伯特舒曼童年情景,https://vd3.bdstatic.com/mda-mgcadk7yh0ygrz9h/1080p/cae_h264/1626217255314148980/mda-mgcadk7yh0ygrz9h.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0729384204&vid=5808437342667881357&auth_key=1712799729-0-0-215ea99746ae2dedeefd9fc131166ccd&bcevod_channel=searchbox_feed
佛瑞《梦醒时分》昆汀与莫罗韦尔比耶音乐节,https://vd2.bdstatic.com/mda-mchk58fap10v6sfn/1080p/cae_h264/1616070648/mda-mchk58fap10v6sfn.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=2910857345&vid=66010441625165856&auth_key=1712801911-0-0-197df31de9ab13b9b81ae33dd303ad1b&bcevod_channel=searchbox_feed
巴赫《哥德堡变奏曲》三重奏版卡普松/考斯/拉费里埃,https://vd4.bdstatic.com/mda-ndirw8msgqbyps3r/hd/cae_h264_delogo/1650417189128079827/mda-ndirw8msgqbyps3r.mp4?pd=2&pt=0&cr=1&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1055337909&vid=10188013969952691168&auth_key=1710553655-0-0-6887dfb9039eda6f055597c7068293b9&bcevod_channel=searchbox_feed
巴赫《哥德堡变奏曲》法-加国王的小提琴合奏团,https://vd4.bdstatic.com/mda-panygjkr0xpqhndi/cae_h264/1674515134042728549/mda-panygjkr0xpqhndi.mp4?pd=2&pt=0&cr=0&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1178513978&vid=13067344541778314502&auth_key=1710553778-0-0-fadbf93dc2ef9770a678d5fd142e3849&bcevod_channel=searchbox_feed
巴赫《哥德堡变奏曲》格伦·古尔德（1981）,https://vd4.bdstatic.com/mda-qb26nz74sabzjmeq/1080p/cae_h264/1707028597467864182/mda-qb26nz74sabzjmeq.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0969792061&vid=14451543888915736818&auth_key=1710553569-0-0-1d8ed8f312bcea11565f48b487fb56bf&bcevod_channel=searchbox_feed
巴赫《哥德堡变奏曲》,https://vd4.bdstatic.com/mda-nfet7u1hktc0w9fy/576p/cae_h264/1655367064595116648/mda-nfet7u1hktc0w9fy.mp4?pd=2&pt=0&cr=1&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0911863497&vid=2652131929093830802&auth_key=1710553512-0-0-04298cc0609c5d651b002417a8d9b30c&bcevod_channel=searchbox_feed
巴赫《羊儿安详地吃草》康塔塔BWV208,https://vd4.bdstatic.com/mda-mfv3rtmhfk6yvi1p/1080p/cae_h264/1625022119759945303/mda-mfv3rtmhfk6yvi1p.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1599396989&vid=4821247729277779635&auth_key=1713102999-0-0-b64cdc3140d98063271f44df3178ba11&bcevod_channel=searchbox_feed&cntl_id=ct_dy_11_95&sle=1&sl=696&split=1199033
放松60分,https://vd2.bdstatic.com/mda-nj8dubwncfpkp989/576p/h264/1665312059770739661/mda-nj8dubwncfpkp989.mp4?pd=2&pt=0&cr=1&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=2981705818&vid=10125181966608062863&auth_key=1704075581-0-0-1fe98aafaa73abb5e51236b69f7a3edd&bcevod_channel=searchbox_feed
放松30分,https://vd3.bdstatic.com/mda-ncj86brmq883wn29/hd/cae_h264_delogo/1647760481483139550/mda-ncj86brmq883wn29.mp4?pd=2&pt=0&cr=1&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=3118552301&vid=14892633508538173094&auth_key=1704075718-0-0-cec103ff47fc624bc75dffd840d9ac5a&bcevod_channel=searchbox_feed
《八段锦》教学,https://vd4.bdstatic.com/mda-naj20f6vn4v6jgp3/fhd/cae_h264_nowatermark_delogo/1642643742077946034/mda-naj20f6vn4v6jgp3.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=2243723328&vid=8646002045675338728&auth_key=1706875644-0-0-1ad536616158a7dcab8555e269ea352c&bcevod_channel=searchbox_feed&cntl_id=ct_dy_11_95&sle=1&sl=84&split=439850
管平湖《流水》太空版,https://vd3.bdstatic.com/mda-pen4s4s33s20x0ei/1080p/cae_h264/1684982323453556521/mda-pen4s4s33s20x0ei.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=2748956259&vid=8995372131343304651&auth_key=1699517749-0-0-f5c43ea232bc19552af2666fbb5ca0b4&bcevod_channel=searchbox_feed
《易筋经》正背向,https://vd4.bdstatic.com/mda-ndc4t4gd00ck3md9/1080p/cae_h264_delogo/1649820853796433043/mda-ndc4t4gd00ck3md9.mp4?pd=2&pt=0&cr=3&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=3481792500&vid=18133608516795038515&auth_key=1706876881-0-0-6c501fc54f2fe6f282c50d08cfb681ba&bcevod_channel=searchbox_feed&cntl_id=ct_dy_11_95&sle=1&sl=141&split=572481
